idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,rviento,tss5cm,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo850,geo925,nieve,psoltp,pliqt,geo700,indicativo,provincia
3111D,-3.580467,2024-01-07T19:00:00,0.0,1450.0,4.0,0.7,359.0,41.135685,352.0,SOMOSIERRA,95.0,-2.1,-1.6,-1.6,856.4,,,,-2.2,,,,28.0,,,,,,,,,,"{'value': 1509.7, 'present': True}",,,,,,3111D,MADRID
3129,-3.555593,2024-01-07T19:00:00,0.0,609.0,6.2,3.2,350.0,40.46656,360.0,MADRID/BARAJAS,62.0,4.8,4.9,5.4,953.7,0.4,2.4,1023.7,-1.7,30.0,4.0,0.0,,,,,,,,,,,,,,,,,3129,MADRID
3130C,-2.617927,2024-01-07T19:00:00,0.0,1005.0,3.5,1.0,283.0,41.086277,274.0,SIGÜENZA,84.0,0.4,0.6,2.0,906.2,,2.0,,-1.7,20.0,,0.0,,1.9,,,,,,,,,"{'value': 1516.1, 'present': True}",,,0.0,0.0,,3130C,GUADALAJARA
3168D,-3.150278,2024-01-07T19:00:00,0.0,727.44,2.7,0.7,211.0,40.630283,35.0,GUADALAJARA,74.0,2.8,2.8,4.3,936.5,0.4,3.4,1024.1,-1.4,20.0,40.0,0.0,,5.4,,,0.0,,,,,5.9,,,,,,,3168D,GUADALAJARA
3191E,-3.765135,2024-01-07T19:00:00,0.0,1004.0,7.1,2.8,345.0,40.696068,346.0,COLMENAR VIEJO/FAMET,49.0,1.9,2.3,2.7,905.8,,,,-7.5,,,,106.0,,,,,,,,,,,834.6,,,,,3191E,MADRID
3194U,-3.724167,2024-01-07T19:00:00,0.0,664.0,,,0.0,40.45167,,MADRID  C. UNIVERSITARIA,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,3194U,MADRID
3195,-3.678095,2024-01-07T19:00:00,0.0,667.0,5.3,0.6,92.0,40.411804,59.0,MADRID RETIRO,65.0,5.1,5.1,6.0,943.5,,,1023.2,-1.0,,,,64.0,,,,,,,,,,,,,,,,3195,MADRID
3260B,-4.045278,2024-01-07T19:00:00,0.0,512.69,3.8,2.3,353.0,39.884724,300.0,TOLEDO,68.0,5.4,5.4,6.2,961.4,0.3,3.7,1023.5,0.0,20.0,10.0,0.0,,4.5,,,0.0,,,,,7.7,,,,,,,3260B,TOLEDO
3266A,-4.141883,2024-01-07T19:00:00,0.0,1532.0,0.0,0.0,0.0,40.70634,317.0,ALTO DE LOS LEONES,99.0,-3.0,-3.0,-2.7,849.0,,,,-3.0,,,,0.0,,,,,,,,,,"{'value': 1522.7, 'present': True}",,,,,,3266A,MADRID
3298X,-4.350468,2024-01-07T19:00:00,0.0,917.0,1.2,0.2,160.0,39.546833,131.0,SAN PABLO DE LOS MONTES,49.0,2.3,3.0,3.3,,,,,-6.7,,,,9.0,,,,,,,,,,,,,,,,3298X,TOLEDO
3338,-4.249927,2024-01-07T19:00:00,0.0,763.0,,,,40.42775,,ROBLEDO DE CHAVELA,52.0,2.0,2.1,4.4,933.0,,,,-6.7,,,,21.0,,,,,,,,,,,832.4,,,,,3338,MADRID
3365A,-4.863596,2024-01-07T19:00:00,0.0,372.0,1.3,0.4,214.0,39.958607,193.0,TALAVERA DE LA REINA,83.0,3.4,3.4,5.5,978.7,,7.2,1024.4,0.9,20.0,,0.0,,8.6,,,,,,,,,,,,0.0,0.0,,3365A,TOLEDO
3434X,-5.582629,2024-01-07T19:00:00,0.0,269.0,1.5,1.1,185.0,39.94576,210.0,NAVALMORAL DE LA MATA,85.0,4.3,4.3,7.3,990.2,,3.7,1023.4,2.1,20.0,,0.0,,9.8,,,,,,,,,,,,0.0,0.0,,3434X,CACERES
3469A,-6.338889,2024-01-07T19:00:00,0.0,393.98,3.8,1.0,317.0,39.47139,240.0,CÁCERES,76.0,4.9,5.6,5.6,976.2,0.3,4.2,1023.8,1.7,20.0,20.0,0.0,,8.9,,,0.0,,,,,9.4,,,,,,,3469A,CACERES
3519X,-6.085781,2024-01-07T19:00:00,0.0,415.0,1.1,0.6,289.0,40.043053,286.0,PLASENCIA,66.0,6.1,6.2,7.6,,,,,0.4,,,,12.0,,,,,,,,,,,,,,,,3519X,CACERES
3526X,-6.557527,2024-01-07T19:00:00,0.0,313.0,2.7,1.5,294.0,40.00354,276.0,CORIA,68.0,6.9,7.0,8.1,985.4,,4.4,1023.5,1.5,20.0,,0.0,,7.9,,,,,,,,,,,,0.0,0.0,,3526X,CACERES
3576X,-7.231135,2024-01-07T19:00:00,0.0,444.0,3.3,2.0,223.0,39.41486,221.0,VALENCIA DE ALCÁNTARA,83.0,4.8,4.8,7.2,970.0,,3.2,1024.0,2.1,20.0,,0.0,,9.5,,,,,,,,,,,,0.0,0.0,,3576X,CACERES
4061X,-3.048206,2024-01-07T19:00:00,0.0,691.52,1.9,0.7,340.0,39.59716,331.0,QUINTANAR DE LA ORDEN,58.0,4.1,4.1,4.5,939.8,,,1022.7,-3.6,,,,29.0,,,,,,,,,,,,,,,,4061X,TOLEDO
4067,-3.528358,2024-01-07T03:00:00,0.0,690.0,5.1,3.6,290.0,39.492065,281.0,MADRIDEJOS,83.0,1.3,1.5,1.6,940.1,,1.0,1023.4,-1.0,20.0,,0.0,,4.9,,,,,,,,,,,,0.0,0.0,,4067,TOLEDO
4090Y,-2.420691,2024-01-07T19:00:00,0.0,728.0,6.8,4.4,312.0,39.416737,322.0,SAN CLEMENTE,72.0,3.2,3.2,4.7,936.1,,3.3,1023.3,-1.4,20.0,,0.0,,5.1,,,,,,,,,,,,0.0,0.0,,4090Y,CUENCA
4103X,-3.00749,2024-01-07T19:00:00,0.0,662.0,2.4,1.4,319.0,39.169044,355.0,TOMELLOSO,76.0,3.1,3.2,4.0,944.5,,2.2,1024.2,-0.7,17.4,,0.0,,6.6,,,,,,,,,,,,0.0,0.0,,4103X,CIUDAD REAL
4121,-3.920278,2024-01-07T19:00:00,0.0,626.17,2.1,0.9,282.0,38.989166,295.0,CIUDAD REAL,69.0,5.8,5.8,7.0,948.5,0.3,2.6,1023.5,0.6,20.0,29.0,0.0,,5.4,,,0.0,,,,,6.4,,,,,,,4121,CIUDAD REAL
4147X,-3.391368,2024-01-07T19:00:00,0.0,700.0,1.9,0.7,130.0,38.750423,182.0,VALDEPEÑAS,65.0,3.2,3.2,5.1,939.6,,3.6,1023.6,-2.7,20.0,,0.0,,6.8,,,,,,,,,,,,0.0,0.0,,4147X,CIUDAD REAL
4148,-3.566724,2024-01-07T19:00:00,0.0,804.0,2.0,1.2,212.0,38.518047,229.0,VISO DEL MARQUÉS,63.0,2.3,2.5,4.0,,,,,,,,,42.0,,,,,,,,,,,,,,,,4148,CIUDAD REAL
4220X,-4.622035,2024-01-07T19:00:00,0.0,531.48,0.5,0.0,250.0,39.083622,231.0,PUEBLA DE DON RODRIGO,76.0,5.1,5.1,5.7,960.0,,,1024.3,1.3,,,,0.0,,,,,,,,,,,,,,,,4220X,CIUDAD REAL
4244X,-5.062271,2024-01-07T19:00:00,0.0,447.0,1.9,0.9,186.0,39.169353,144.0,HERRERA DEL DUQUE,80.0,4.1,4.1,6.2,969.8,,2.0,1024.3,0.9,20.0,,0.0,,8.3,,,,,,,,,,,,0.0,0.0,,4244X,BADAJOZ
4267X,-5.121442,2024-01-07T19:00:00,0.0,551.0,1.4,0.7,292.0,38.498367,265.0,HINOJOSA DEL DUQUE,81.0,4.8,4.9,5.6,957.3,,,1023.8,1.9,,,,28.0,,,,,,,,,,,,,,,,4267X,CORDOBA
4358X,-5.880481,2024-01-07T19:00:00,0.0,273.0,2.0,0.2,26.0,38.95559,288.0,DON BENITO,87.0,5.1,5.1,6.4,990.4,,6.5,1024.0,3.0,20.0,,0.0,,9.5,,,,,,,,,,,,0.0,0.0,,4358X,BADAJOZ
4386B,-6.017048,2024-01-07T19:00:00,0.0,655.0,2.5,1.1,283.0,38.23171,311.0,LLERENA,78.0,5.0,5.1,6.2,945.9,,4.1,1024.3,1.5,20.0,,0.0,,5.2,,,,,,,,,,,,0.0,0.0,,4386B,BADAJOZ
4410X,-6.385632,2024-01-07T19:00:00,0.0,228.0,1.0,0.2,111.0,38.915882,140.0,MÉRIDA,98.0,2.4,2.7,3.7,995.8,0.2,,1024.2,2.5,,9.0,,,,,,,,,,,,,,,,,,4410X,BADAJOZ
4452,-6.81389,2024-01-07T19:00:00,0.0,185.5,1.8,1.3,201.0,38.883396,200.0,BADAJOZ/TALAVERA LA REAL,86.0,6.8,6.8,8.2,1000.9,0.3,4.5,1023.8,4.6,,5.0,0.0,,7.2,,,0.0,,,,,9.2,,,,,,,4452,BADAJOZ
4511C,-6.765058,2024-01-07T19:00:00,0.0,381.0,3.5,2.4,78.0,38.298515,350.0,JEREZ DE LOS CABALLEROS,73.0,7.3,7.3,9.4,977.7,,5.3,1023.8,2.9,20.0,,0.0,,10.3,,,,,,,,,,,,0.0,0.0,,4511C,BADAJOZ
4549Y,-7.394971,2024-01-07T19:00:00,0.0,2.63,2.1,1.0,303.0,37.194607,286.0,AYAMONTE  ISLA CANELA,76.0,10.4,10.4,11.4,1022.8,,,1023.3,6.4,,,,40.0,,,,,,,,,,,,,,,,4549Y,HUELVA
4560Y,-6.674999,2024-01-07T19:00:00,0.0,572.0,6.8,2.8,357.0,37.868614,336.0,ALAJAR  CABEZO MOLINOS,71.0,6.9,7.6,7.6,954.9,,5.2,1023.1,2.7,,,0.0,,8.1,,,,,,,,,,,,0.0,0.0,,4560Y,HUELVA
4642E,-6.911696,2024-01-07T19:00:00,0.0,17.59,2.7,1.9,285.0,37.27841,280.0,HUELVA  RONDA ESTE,75.0,10.0,10.0,11.1,1020.5,0.2,9.2,1022.9,5.8,19.5,8.0,0.0,,12.6,,,0.0,,,,,13.3,,,,,,,4642E,HUELVA
5000C,-5.346967,2024-01-07T19:00:00,0.0,87.0,5.7,1.8,250.0,35.888725,295.0,CEUTA,63.0,12.6,12.8,12.8,1010.6,0.9,11.6,1021.3,5.9,20.0,51.0,0.0,,13.0,,,0.0,,,,,13.5,,,,,,,5000C,CEUTA
5047E,-2.734995,2024-01-07T19:00:00,0.0,785.0,11.5,7.4,272.0,37.50583,269.0,BAZA  CRUZ ROJA,44.0,6.1,6.2,7.0,929.4,,5.0,,-5.1,20.0,,0.0,,6.5,,,,,,,,,,823.9,,0.0,0.0,,5047E,GRANADA
5181D,-2.889764,2024-01-07T19:00:00,0.0,580.0,,,,38.314754,,ARROYO DEL OJANCO,67.0,5.2,5.2,6.3,,,,,,,,,0.0,,,,,,,,,,,,,,,,5181D,JAEN
5192,-2.637568,2024-01-07T19:00:00,0.0,862.0,3.4,2.4,129.0,38.48925,126.0,VILLARRODRIGO,69.0,2.5,2.6,3.7,921.6,,2.5,,-2.5,20.0,,0.0,,6.5,,,,,,,,,,832.2,,0.0,0.0,,5192,JAEN
5270B,-3.809167,2024-01-07T19:00:00,0.0,580.0,2.0,1.2,206.0,37.7775,220.0,JAÉN,68.0,4.0,4.0,4.8,954.1,0.1,2.1,1024.4,-1.4,20.0,6.0,0.0,,7.3,,,0.0,,,,,6.9,,,,,,,5270B,JAEN
5298X,-4.063333,2024-01-07T19:00:00,0.0,202.0,1.1,0.4,256.0,38.023052,245.0,ANDÚJAR,83.0,4.9,4.9,5.6,998.4,0.2,,1023.4,2.3,,14.0,,,,,,,,,,,,,,,,,,5298X,JAEN
5390Y,-4.608886,2024-01-07T19:00:00,0.0,750.0,2.8,1.5,333.0,38.333057,341.0,VILLANUEVA DE CÓRDOBA,79.0,3.6,3.6,4.9,934.6,,1.4,1024.2,0.2,20.0,,0.0,,7.2,,,,,,,,,,,,0.0,0.0,,5390Y,CORDOBA
5402,-4.846558,2024-01-07T19:00:00,0.0,90.0,1.5,1.1,210.0,37.848892,210.0,CÓRDOBA/AEROPUERTO,85.0,5.9,6.0,8.0,1011.8,0.1,5.4,1023.2,3.6,,5.0,0.0,,,,,,,,,,,,,,,,,5402,CORDOBA
5427X,-4.353893,2024-01-07T19:00:00,0.0,650.0,3.8,3.1,118.0,37.556114,121.0,DOÑA MENCIA,58.0,5.9,5.9,6.4,,,,,-1.7,,,,106.0,,,,,,,,,,,,,,,,5427X,CORDOBA
5530E,-3.789774,2024-01-07T19:00:00,0.0,560.12,4.1,2.4,250.0,37.190292,240.0,GRANADA/AEROPUERTO,67.0,5.6,5.8,7.6,954.6,0.5,3.9,1023.0,0.2,30.0,4.0,0.0,,,,,,,,,,,,,,,,,5530E,GRANADA
5582A,-4.152781,2024-01-07T19:00:00,0.0,760.0,3.9,1.5,243.0,37.16111,239.0,LOJA,55.0,7.8,8.1,9.0,,,,,,,,,51.0,,,,,,,,,,,,,,,,5582A,GRANADA
5612B,-4.769994,2024-01-07T19:00:00,0.0,410.0,1.8,0.8,235.0,37.194443,239.0,RODA DE ANDALUCÍA,87.0,2.4,2.4,5.6,973.1,,2.7,1023.5,0.4,20.0,,0.0,,8.3,,,,,,,,,,,,0.0,0.0,,5612B,SEVILLA
5641X,-5.085113,2024-01-07T19:00:00,0.0,130.0,1.6,0.7,283.0,37.516228,288.0,ECIJA,59.0,8.2,8.2,9.7,1007.1,,,1023.1,0.6,,,,35.0,,,,,,,,,,,,,,,,5641X,SEVILLA
5704B,-5.769728,2024-01-07T19:00:00,0.0,550.0,2.5,0.4,78.0,37.926388,59.0,CAZALLA DE LA SIERRA,88.0,2.3,2.4,4.7,957.3,,,1024.2,0.6,,,,32.0,,,,,,,,,,,,,,,,5704B,SEVILLA
5783,-5.879167,2024-01-07T19:00:00,0.0,34.0,1.5,1.1,110.0,37.416668,110.0,SEVILLA/SAN PABLO,84.0,6.6,6.9,9.6,1019.2,0.1,11.2,1023.0,4.3,,8.0,0.0,,,,,,,,,,,,,,,,,5783,SEVILLA
5796,-5.611474,2024-01-07T19:00:00,0.0,87.0,1.8,0.6,161.0,37.164528,157.0,MORÓN DE LA FRONTERA,72.0,7.9,7.9,10.4,,,,,3.2,,,,17.0,,,,,,,,,,,,,,,,5796,SEVILLA
5860E,-6.738088,2024-01-07T19:00:00,0.0,41.0,2.3,1.2,352.0,37.097942,6.0,EL ARENOSILLO,78.0,8.5,8.8,10.2,1018.3,,,1023.4,5.1,,,,54.0,,,,,,,,,,,,,,,,5860E,HUELVA
5911A,-5.37403,2024-01-07T19:00:00,0.0,913.0,3.2,1.9,301.0,36.76044,296.0,GRAZALEMA,50.0,1.1,1.2,1.8,916.8,,,,-8.2,,,,68.0,,,,,,,,,,,841.3,,,,,5911A,CADIZ
5960,-6.055857,2024-01-07T19:00:00,0.0,27.0,9.3,4.5,350.0,36.750496,320.0,JEREZ DE LA FRONTERA/AEROPUERTO,74.0,8.5,9.0,10.0,1019.2,0.1,7.3,1022.6,4.6,,1.0,0.0,,,,,,,,,,,,,,,,,5960,CADIZ
5972X,-6.205557,2024-01-07T19:00:00,0.0,28.0,3.7,0.9,4.0,36.465557,332.0,SAN FERNANDO,58.0,11.0,11.0,12.2,1018.8,,,1022.3,3.0,,,,55.0,,,,,,,,,,,,,,,,5972X,CADIZ
5973,-6.257861,2024-01-07T19:00:00,0.0,2.0,5.9,3.3,5.0,36.49972,353.0,CÁDIZ  OBSERVATORIO,68.0,12.8,12.8,13.4,1022.0,0.4,,1022.7,7.0,,6.0,,,,,,,,,,,,,,,,,,5973,CADIZ
5995B,-5.965005,2024-01-07T19:00:00,0.0,186.0,7.3,3.0,347.0,36.245556,344.0,VEJER DE LA FRONTERA,61.0,10.9,10.9,11.4,998.8,,,1021.3,3.6,,,,89.0,,,,,,,,,,,,,,,,5995B,CADIZ
6000A,-2.95638,2024-01-07T19:00:00,0.0,52.0,3.8,1.7,247.0,35.276325,250.0,MELILLA,60.0,12.4,12.4,13.1,1014.5,0.4,8.1,1021.4,4.8,,15.0,0.0,,10.8,,,0.0,,,,,12.6,,,,,,,6000A,MELILLA
6001,-5.59883,2024-01-07T19:00:00,0.0,32.0,4.9,2.3,320.0,36.013985,330.0,TARIFA,61.0,11.4,12.1,12.8,,,,,,,,,,,,,,,,,,,,,,,,,6001,CADIZ
6058I,-5.154988,2024-01-07T19:00:00,0.0,19.0,1.0,0.6,253.0,36.416954,280.0,ESTEPONA,51.0,10.9,10.9,12.6,1020.0,,7.9,1022.3,1.1,20.0,,0.0,,12.8,,,,,,,,,,,,0.0,0.0,,6058I,MALAGA
6084X,-4.618209,2024-01-07T19:00:00,0.0,8.0,3.0,0.9,80.0,36.538494,73.0,FUENGIROLA,,,,,1019.7,,,,,,,,35.0,,,,,,,,,,,,,,,,6084X,MALAGA
6106X,-4.748339,2024-01-07T19:00:00,0.0,408.0,2.8,1.0,319.0,37.029446,316.0,ANTEQUERA-BOBADILLA,55.0,7.0,7.1,8.7,973.0,,,1022.3,-1.4,,,,40.0,,,,,,,,,,,,,,,,6106X,MALAGA
6155A,-4.482307,2024-01-07T19:00:00,0.0,6.54,7.2,4.7,280.0,36.66612,270.0,MÁLAGA/AEROPUERTO,39.0,12.6,12.8,14.0,1020.1,0.6,10.5,1021.0,-0.7,,3.0,0.0,,,,,,,,,,,,,,,,,6155A,MALAGA
6156X,-4.48167,2024-01-07T19:00:00,0.0,54.0,7.0,2.6,288.0,36.717785,278.0,MÁLAGA CMT,42.0,13.2,13.4,14.0,1014.6,0.8,,1021.2,0.6,,21.0,,,,,,,,,,,,,,,,,,6156X,MALAGA
6172O,-4.41972,2024-01-07T19:00:00,0.0,25.0,4.0,2.1,237.0,36.716663,223.0,MÁLAGA PUERTO,39.0,13.1,13.4,13.7,1018.0,,,1021.0,-0.3,,,,40.0,,,,,,,,,,,,,,,,6172O,MALAGA
6205X,-3.95722,2024-01-07T19:00:00,0.0,3.0,3.8,2.6,18.0,36.726383,12.0,TORROX FARO,82.0,,,,1020.2,,,,,,,,85.0,,,,,,,,,,,,,,,,6205X,MALAGA
6277B,-3.020578,2024-01-07T19:00:00,0.0,8.0,5.5,0.4,303.0,36.74718,270.0,ADRA CLUB NAÚTICO,,,,,1021.0,,,,,,,,78.0,,,,,,,,,,,,,,,,6277B,ALMERIA
6293X,-2.701667,2024-01-07T19:00:00,0.0,3.0,5.1,3.6,279.0,36.68694,280.0,ROQUETAS DE MAR-FARO SABINAR,79.0,10.3,10.8,11.8,1019.5,,15.0,1019.9,7.3,20.0,,0.0,,14.9,,,,,,,,,,,,0.0,0.0,,6293X,ALMERIA
6302A,-2.780005,2024-01-07T19:00:00,0.0,869.0,5.0,1.3,340.0,37.141388,333.0,ABLA,42.0,5.7,5.7,7.2,919.7,,,,-6.4,,,,60.0,,,,,,,,,,,822.0,,,,,6302A,ALMERIA
6325O,-2.356931,2024-01-07T19:00:00,0.0,21.0,5.1,1.6,260.0,36.846344,250.0,ALMERÍA/AEROPUERTO,70.0,12.5,12.6,13.0,1017.1,1.0,11.0,1019.6,7.3,,107.0,,,,,,,,,,,,,,,,,,6325O,ALMERIA
6367B,-1.943609,2024-01-07T19:00:00,0.0,300.0,,,25.0,37.390556,66.0,HUERCAL OVERA,56.0,8.9,8.9,9.9,984.2,,,1020.4,0.6,,,,40.0,,,,,,,,,,,,,,,,6367B,ALMERIA
7002Y,-1.586878,2024-01-07T19:00:00,0.0,32.0,4.2,2.0,45.0,37.41724,45.0,ÁGUILAS,61.0,11.3,11.3,12.0,1016.6,,10.3,1020.5,4.1,20.0,,0.0,,15.0,,,,,,,,,,,,0.0,0.0,,7002Y,MURCIA
7012C,-0.987775,2024-01-07T19:00:00,0.0,17.0,2.6,1.2,318.0,37.601116,317.0,CARTAGENA,43.0,12.6,12.6,13.2,,,,,,,,,46.0,,,,,,,,,,,,,,,,7012C,MURCIA
7031X,-0.805916,2024-01-07T19:00:00,0.0,4.0,7.7,5.2,350.0,37.77833,340.0,MURCIA/SAN JAVIER,37.0,11.4,11.6,12.6,1019.8,0.7,10.0,1020.3,-2.7,,3.0,0.0,,,,,,,,,,,,,,,,,7031X,MURCIA
7096B,-1.70294,2024-01-07T19:00:00,0.0,604.57,5.4,2.4,186.0,38.541992,181.0,HELLÍN,49.0,6.2,6.2,7.2,950.1,,,1022.3,-3.9,,,,95.0,,,,,,,,,,,,,,,,7096B,ALBACETE
